date,time,m1,m2,m3,m4
20160903,21:35:21, 0,0,0,0
20160903,21:35:41, 1,0,0,0
20160903,21:36:01, 1,0,0,0
20160903,21:36:21, 0,0,0,0
20160903,21:36:41, 0,0,0,0
20160903,21:37:01, 0,0,0,0
20160903,21:37:21, 1,0,0,0
20160903,21:37:41, 1,0,0,0
20160903,21:38:01, 0,0,0,0
20160903,21:38:21, 0,0,0,0
20160903,21:38:41, 0,0,0,0
20160903,21:39:01, 1,0,0,0
20160903,21:39:21, 1,0,0,0
20160903,21:39:41, 0,0,0,0
20160903,21:40:01, 0,0,0,0
20160903,21:40:21, 0,0,0,0
20160903,21:40:41, 1,0,0,0
20160903,21:41:01, 1,0,0,0
20160903,21:41:21, 0,0,0,0
20160903,21:41:41, 0,0,0,0
20160903,21:42:01, 0,0,0,0
20160903,21:42:21, 1,0,0,0
20160903,21:42:41, 1,0,0,0
20160903,21:43:01, 0,0,0,0
20160903,21:43:21, 0,0,0,0
20160903,21:43:41, 0,0,0,0
20160903,21:44:01, 1,0,0,0
20160903,21:44:21, 1,0,0,0
20160903,21:44:41, 0,0,0,0
20160903,21:45:01, 0,0,0,0
20160903,21:45:21, 0,0,0,0
20160903,21:45:41, 1,0,0,0
20160903,21:46:01, 1,0,0,0
20160903,21:46:21, 0,0,0,0
20160903,21:46:41, 0,0,0,0
20160903,21:47:01, 0,0,0,0
20160903,21:47:21, 1,0,0,0
20160903,21:47:41, 1,0,0,0
20160903,21:48:01, 0,0,0,0
20160903,21:48:21, 0,0,0,0
20160903,21:48:41, 0,0,0,0
20160903,21:49:01, 1,0,0,0
20160903,21:49:21, 1,0,0,0
20160903,21:49:41, 0,0,0,0
20160903,21:50:01, 0,0,0,0
20160903,21:50:21, 0,0,0,0
20160903,21:50:41, 1,0,0,0
20160903,21:51:01, 1,0,0,0
20160903,21:51:21, 0,0,0,0
20160903,21:51:41, 0,0,0,0
20160903,21:52:01, 0,0,0,0
20160903,21:52:26, 0,1,0,0
20160903,21:52:52, 0,1,0,0
20160903,21:53:15, 0,0,0,0
20160903,21:53:35, 0,0,0,0
20160903,21:53:55, 0,0,0,0
20160903,21:54:20, 0,1,0,0
20160903,21:54:45, 0,1,0,0
20160903,21:55:09, 0,0,0,0
20160903,21:55:29, 0,0,0,0
20160903,21:55:49, 0,0,0,0
20160903,21:56:15, 0,1,0,0
20160903,21:56:37, 0,1,0,0
20160903,21:57:00, 0,0,0,0
20160903,21:57:20, 0,0,0,0
20160903,21:57:40, 0,0,0,0
20160903,21:58:04, 0,1,0,0
20160903,21:58:25, 0,1,0,0
20160903,21:58:50, 0,0,0,0
20160903,21:59:10, 0,0,0,0
20160903,21:59:30, 0,0,0,0
20160903,21:59:52, 0,1,0,0
20160903,22:00:15, 0,1,0,0
20160903,22:00:42, 0,0,0,0
20160903,22:01:02, 0,0,0,0
20160903,22:01:22, 0,0,0,0
20160903,22:01:46, 0,1,0,0
