################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -i 5 --iosize -oD -scdmnj -P --sep , -f myfile.out 
# Host:       stackstorm-fe68isa7  DaemonOpts: 
# Booted:     1472500079.32 [20160829-19:47:59]
# Distro:     debian jessie/sid, Ubuntu 14.04.4 LTS  Platform: 
# Date:       20160903-213522  Secs: 1472938522 TZ: +0000
# SubSys:     cdmnj Options: D Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.679 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.19.0-49-generic  Memory: 3523128 kB  Swap: 4194300 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    6 NetNames: veth4b26ff5:10000 eth0:?? vethbf7c388:10000 docker0:?? veth505a383:10000 lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:01:00
################################################################################
#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[DSK]ReadTot,[DSK]WriteTot,[DSK]OpsTot,[DSK]ReadKBTot,[DSK]WriteKBTot,[DSK]KbTot,[DSK]ReadMrgTot,[DSK]WriteMrgTot,[DSK]MrgTot
20160903,21:35:28,98,0,2,0,0,0,0,0,100,18,1215,0,360,1,0.45,3.11,2.34,1,0,3523128,743688,2779440,0,9164,82644,54276,48896,374544,2297440,0,4194300,1047584,3146716,0,0,2224,0,0,38272,0,34,289,0,0,0,0,26284,7,12,1,4,0,0,0,0,0,0,2,2,0,34,34,0,5,5
20160903,21:35:33,98,0,2,0,0,0,0,0,100,18,1227,0,358,1,0.49,3.07,2.33,1,0,3523128,742280,2780848,0,9172,82656,54308,47052,373316,2297440,0,4194300,1047584,3146716,0,0,2384,0,0,38272,2,153,173,0,0,0,0,26316,8,13,1,4,0,0,0,0,0,0,28,29,2,160,161,0,7,7
20160903,21:35:38,97,0,3,0,0,0,0,0,100,18,1130,0,358,1,0.53,3.04,2.32,1,0,3523128,742404,2780724,0,9180,82672,54308,47052,373328,2297440,0,4194300,1047584,3146716,0,0,3064,0,0,38268,0,22,211,0,0,0,0,26316,7,11,1,3,0,0,0,0,0,0,2,2,0,23,23,0,4,4
20160903,21:35:43,96,0,4,0,0,0,0,0,100,18,1264,1,359,2,0.57,3.00,2.32,2,0,3523128,742048,2781080,0,9196,82692,54308,47040,373356,2297440,0,4194300,1047584,3146716,0,0,2808,0,0,38232,0,97,266,0,0,0,0,26316,12,18,3,5,0,0,0,0,0,0,16,16,0,99,99,0,6,6
20160903,21:35:48,98,0,2,0,0,0,0,0,100,18,1348,0,358,2,0.76,3.00,2.32,2,0,3523128,742032,2781096,0,9204,82704,54308,47040,373356,2297440,0,4194300,1047584,3146716,0,0,712,0,0,38232,1,440,137,0,0,0,0,26316,7,11,1,4,0,0,0,0,0,0,82,82,1,441,442,0,6,6
20160903,21:35:53,97,0,3,0,0,0,0,0,100,18,1282,1,360,2,0.94,3.00,2.32,6,0,3523128,743460,2779668,0,9212,82740,54308,48524,374184,2297440,0,4194300,1047584,3146716,0,0,1956,0,0,38244,2,29,224,1,0,0,0,26316,8,12,1,3,0,0,0,0,0,1,1,2,2,31,34,0,6,6
20160903,21:35:58,98,0,2,0,0,0,0,0,100,18,1304,0,360,2,1.03,2.99,2.32,2,0,3523128,743832,2779296,0,9220,82760,54308,48880,374632,2297440,0,4194300,1047568,3146732,1,0,2024,0,0,38248,2,23,175,1,0,0,0,26316,9,13,1,4,0,0,0,0,0,1,2,3,2,24,26,0,4,4
20160903,21:36:03,97,0,3,0,0,0,0,0,100,18,1365,1,358,3,1.19,2.99,2.32,3,0,3523128,742528,2780600,0,9228,82764,54308,47056,373432,2297440,0,4194300,1047568,3146732,2,0,2048,0,0,38228,7,24,195,1,0,0,0,26316,9,13,1,4,0,0,0,0,0,1,2,3,7,26,34,1,5,5
20160903,21:36:08,98,0,2,0,0,0,0,0,100,18,1329,0,358,3,1.57,3.04,2.34,3,0,3523128,742652,2780476,0,9260,82784,54308,47056,373456,2297440,0,4194300,1047564,3146736,0,0,2132,0,0,38232,2,606,356,0,0,0,0,26316,8,12,1,3,0,0,0,0,0,0,41,42,2,614,615,0,12,12
20160903,21:36:13,97,0,3,0,0,0,0,0,100,18,1298,0,358,3,1.69,3.04,2.35,3,0,3523128,742668,2780460,0,9276,82852,54308,47104,373480,2297440,0,4194300,1047564,3146736,0,0,1576,0,0,38264,2,142,126,0,0,0,0,26316,11,18,3,5,0,0,0,0,0,0,27,28,2,142,143,0,3,3
